__Ini_ID,Role_tries,Role_validEntry,Customer_proceedToPayment,CustomerProfile_totalPriceOfItems,CustomerProfile_primeCustomer,CustomerProfile_billingAddress,WebUser_performLoginAction
0,1,TRUE,TRUE,12,TRUE,26336,TRUE
1,1,TRUE,TRUE,12,TRUE,26336,FALSE
2,1,TRUE,TRUE,12,TRUE,61428,TRUE
3,1,TRUE,TRUE,12,TRUE,61428,FALSE
4,1,TRUE,TRUE,12,FALSE,26336,TRUE
5,1,TRUE,TRUE,12,FALSE,26336,FALSE
6,1,TRUE,TRUE,12,FALSE,61428,TRUE
7,1,TRUE,TRUE,12,FALSE,61428,FALSE
8,1,TRUE,TRUE,60,TRUE,26336,TRUE
9,1,TRUE,TRUE,60,TRUE,26336,FALSE
10,1,TRUE,TRUE,60,TRUE,61428,TRUE
11,1,TRUE,TRUE,60,TRUE,61428,FALSE
12,1,TRUE,TRUE,60,FALSE,26336,TRUE
13,1,TRUE,TRUE,60,FALSE,26336,FALSE
14,1,TRUE,TRUE,60,FALSE,61428,TRUE
15,1,TRUE,TRUE,60,FALSE,61428,FALSE
16,1,TRUE,FALSE,12,TRUE,26336,TRUE
17,1,TRUE,FALSE,12,TRUE,26336,FALSE
18,1,TRUE,FALSE,12,TRUE,61428,TRUE
19,1,TRUE,FALSE,12,TRUE,61428,FALSE
20,1,TRUE,FALSE,12,FALSE,26336,TRUE
21,1,TRUE,FALSE,12,FALSE,26336,FALSE
22,1,TRUE,FALSE,12,FALSE,61428,TRUE
23,1,TRUE,FALSE,12,FALSE,61428,FALSE
24,1,TRUE,FALSE,60,TRUE,26336,TRUE
25,1,TRUE,FALSE,60,TRUE,26336,FALSE
26,1,TRUE,FALSE,60,TRUE,61428,TRUE
27,1,TRUE,FALSE,60,TRUE,61428,FALSE
28,1,TRUE,FALSE,60,FALSE,26336,TRUE
29,1,TRUE,FALSE,60,FALSE,26336,FALSE
30,1,TRUE,FALSE,60,FALSE,61428,TRUE
31,1,TRUE,FALSE,60,FALSE,61428,FALSE
32,1,FALSE,TRUE,12,TRUE,26336,TRUE
33,1,FALSE,TRUE,12,TRUE,26336,FALSE
34,1,FALSE,TRUE,12,TRUE,61428,TRUE
35,1,FALSE,TRUE,12,TRUE,61428,FALSE
36,1,FALSE,TRUE,12,FALSE,26336,TRUE
37,1,FALSE,TRUE,12,FALSE,26336,FALSE
38,1,FALSE,TRUE,12,FALSE,61428,TRUE
39,1,FALSE,TRUE,12,FALSE,61428,FALSE
40,1,FALSE,TRUE,60,TRUE,26336,TRUE
41,1,FALSE,TRUE,60,TRUE,26336,FALSE
42,1,FALSE,TRUE,60,TRUE,61428,TRUE
43,1,FALSE,TRUE,60,TRUE,61428,FALSE
44,1,FALSE,TRUE,60,FALSE,26336,TRUE
45,1,FALSE,TRUE,60,FALSE,26336,FALSE
46,1,FALSE,TRUE,60,FALSE,61428,TRUE
47,1,FALSE,TRUE,60,FALSE,61428,FALSE
48,1,FALSE,FALSE,12,TRUE,26336,TRUE
49,1,FALSE,FALSE,12,TRUE,26336,FALSE
50,1,FALSE,FALSE,12,TRUE,61428,TRUE
51,1,FALSE,FALSE,12,TRUE,61428,FALSE
52,1,FALSE,FALSE,12,FALSE,26336,TRUE
53,1,FALSE,FALSE,12,FALSE,26336,FALSE
54,1,FALSE,FALSE,12,FALSE,61428,TRUE
55,1,FALSE,FALSE,12,FALSE,61428,FALSE
56,1,FALSE,FALSE,60,TRUE,26336,TRUE
57,1,FALSE,FALSE,60,TRUE,26336,FALSE
58,1,FALSE,FALSE,60,TRUE,61428,TRUE
59,1,FALSE,FALSE,60,TRUE,61428,FALSE
60,1,FALSE,FALSE,60,FALSE,26336,TRUE
61,1,FALSE,FALSE,60,FALSE,26336,FALSE
62,1,FALSE,FALSE,60,FALSE,61428,TRUE
63,1,FALSE,FALSE,60,FALSE,61428,FALSE
64,3,TRUE,TRUE,12,TRUE,26336,TRUE
65,3,TRUE,TRUE,12,TRUE,26336,FALSE
66,3,TRUE,TRUE,12,TRUE,61428,TRUE
67,3,TRUE,TRUE,12,TRUE,61428,FALSE
68,3,TRUE,TRUE,12,FALSE,26336,TRUE
69,3,TRUE,TRUE,12,FALSE,26336,FALSE
70,3,TRUE,TRUE,12,FALSE,61428,TRUE
71,3,TRUE,TRUE,12,FALSE,61428,FALSE
72,3,TRUE,TRUE,60,TRUE,26336,TRUE
73,3,TRUE,TRUE,60,TRUE,26336,FALSE
74,3,TRUE,TRUE,60,TRUE,61428,TRUE
75,3,TRUE,TRUE,60,TRUE,61428,FALSE
76,3,TRUE,TRUE,60,FALSE,26336,TRUE
77,3,TRUE,TRUE,60,FALSE,26336,FALSE
78,3,TRUE,TRUE,60,FALSE,61428,TRUE
79,3,TRUE,TRUE,60,FALSE,61428,FALSE
80,3,TRUE,FALSE,12,TRUE,26336,TRUE
81,3,TRUE,FALSE,12,TRUE,26336,FALSE
82,3,TRUE,FALSE,12,TRUE,61428,TRUE
83,3,TRUE,FALSE,12,TRUE,61428,FALSE
84,3,TRUE,FALSE,12,FALSE,26336,TRUE
85,3,TRUE,FALSE,12,FALSE,26336,FALSE
86,3,TRUE,FALSE,12,FALSE,61428,TRUE
87,3,TRUE,FALSE,12,FALSE,61428,FALSE
88,3,TRUE,FALSE,60,TRUE,26336,TRUE
89,3,TRUE,FALSE,60,TRUE,26336,FALSE
90,3,TRUE,FALSE,60,TRUE,61428,TRUE
91,3,TRUE,FALSE,60,TRUE,61428,FALSE
92,3,TRUE,FALSE,60,FALSE,26336,TRUE
93,3,TRUE,FALSE,60,FALSE,26336,FALSE
94,3,TRUE,FALSE,60,FALSE,61428,TRUE
95,3,TRUE,FALSE,60,FALSE,61428,FALSE
96,3,FALSE,TRUE,12,TRUE,26336,TRUE
97,3,FALSE,TRUE,12,TRUE,26336,FALSE
98,3,FALSE,TRUE,12,TRUE,61428,TRUE
99,3,FALSE,TRUE,12,TRUE,61428,FALSE
100,3,FALSE,TRUE,12,FALSE,26336,TRUE
101,3,FALSE,TRUE,12,FALSE,26336,FALSE
102,3,FALSE,TRUE,12,FALSE,61428,TRUE
103,3,FALSE,TRUE,12,FALSE,61428,FALSE
104,3,FALSE,TRUE,60,TRUE,26336,TRUE
105,3,FALSE,TRUE,60,TRUE,26336,FALSE
106,3,FALSE,TRUE,60,TRUE,61428,TRUE
107,3,FALSE,TRUE,60,TRUE,61428,FALSE
108,3,FALSE,TRUE,60,FALSE,26336,TRUE
109,3,FALSE,TRUE,60,FALSE,26336,FALSE
110,3,FALSE,TRUE,60,FALSE,61428,TRUE
111,3,FALSE,TRUE,60,FALSE,61428,FALSE
112,3,FALSE,FALSE,12,TRUE,26336,TRUE
113,3,FALSE,FALSE,12,TRUE,26336,FALSE
114,3,FALSE,FALSE,12,TRUE,61428,TRUE
115,3,FALSE,FALSE,12,TRUE,61428,FALSE
116,3,FALSE,FALSE,12,FALSE,26336,TRUE
117,3,FALSE,FALSE,12,FALSE,26336,FALSE
118,3,FALSE,FALSE,12,FALSE,61428,TRUE
119,3,FALSE,FALSE,12,FALSE,61428,FALSE
120,3,FALSE,FALSE,60,TRUE,26336,TRUE
121,3,FALSE,FALSE,60,TRUE,26336,FALSE
122,3,FALSE,FALSE,60,TRUE,61428,TRUE
123,3,FALSE,FALSE,60,TRUE,61428,FALSE
124,3,FALSE,FALSE,60,FALSE,26336,TRUE
125,3,FALSE,FALSE,60,FALSE,26336,FALSE
126,3,FALSE,FALSE,60,FALSE,61428,TRUE
127,3,FALSE,FALSE,60,FALSE,61428,FALSE
